nonphishing,"What is the best way to tackle this negotiation? Need some intel"							
nonphishing,"follow - up just following up to my week ago note . my expectation is you would have a plan by the time i would come back"																
nonphishing,"hi following up conversations i have had with several of you. i would appreciate your consideration of the following candidiate for a position. they have an undergraduate degree.thanks much."
nonphishing,"I have joined back office. Not sure if you are still working in the same department"
nonphishing,"adjusted volumes report for january please see attached file."
nonphishing,"announcement for wednesday night as you know there will be a combined high school / middle school demo this coming sunday evening.i just got word today that part of the time will be spent doing some service oriented things"
nonphishing,"out of the office i will be out of the office beginning thursday , 12 / 24 , returning on tuesday , 1 / 4 . in my absence i have asked others to be the point person for operations"
nonphishing,"monthly manangement lunch please clear your calendars for lunch on wednesday , march 8 th from 11 : 30 - 1 : 00 . this will be a lunch for the management team only."
nonphishing,"june vacation please submit your june vacation to me asap . thank you !"
nonphishing,"new employee i am pleased to announce that a new colleague will be joining the team next week , april 10 th . they join us from another department and previously from another company . they can be reached at ext ."
nonphishing,"work assignments i see that you have alot of the things that are on the error report,some of which i am not sure that i have assigned to you . if anyone tells you that you are now doing something off of their desk,please refer them to me at this time."
nonphishing,"updated spreadsheet here is the lastest. please make sure that you look at this carefully . there are some weird changes that happened . please make sure that you forward this on to whom ever needs it . if you have any questions please feel free to call me."	
phishing,"cheap prices on your medication delivered to your doorstep . doctor writes prescription online . licensed . - great prices - overnight shipping"																					
phishing,"use the links to get more information on rx meds needn ' t deliver you speedy parcel post with a costless professional prescriipttion attached low prices"
nonphishing,"new storage flag at your earliest convenience.please add the new storage flag to all your storage deals . you can find them in the portfolio shown below"																											
nonphishing,"contract status needed on monday we have to file a transition plan. details are needed. i have received some emails however i would like each manager to put together a summary in an excel spreadsheet"
nonphishing,"new contact for future please note that i will be leaving the company as of march 23. please send future e - mails regarding changes to the team"
nonphishing,"nominations for october 20 see attached file"
phishing,"notification from the bank # 6521 online banking users , we have noticed a numerous number of failed login attempt in youe  online banking account . in this situation , we had to disable you account access . that means we have blocked all kind of my access in your online account . to unblock you account  please click here or follow the link and complete the verification process and identify yourself as the real owner of account"
phishing,"you don _ t know how to get into search engine results ? submitting your website in search engines may increase your online sales dramatically . lf you invested time and money into your website "
phishing,"perfect visual solution for your business now working on your company ' s image ? start with a visual identity a key to the first good impression . we are here to help you ! we ' ll take part in buiiding a positive visual imaqe of your company by creatinq an outstandinq loqo"
phishing,"all graphics software available  cheap  versions . good morning  we we offer latest  packages of all graphics and publishing software"
phishing,"almost - guaranteed issue term almost guarantee issue term for impaired risk market 10 year level term"
phishing,"localized software , all languages available . hello , we would like to offer localized software versions ( qerman , french , spanish , english , and many others )"
phishing,"save your money buy getting this thing here you have not tried yet ? than you cannot even imagine what it is like to be a real"
phishing,"logo your business identity our art team creates a custom logo for you. years of experience have taught us how to create a logo that makes a statement that is unique to you. click the link to know more."
phishing,"internet connection speed may not be optimized  unable to see graphics ? please go here to view this email! accelerate your internet speed up to three times faster. please feel free to forward this email to friends and family who may be interested in this newsletter ."
